date,open,close,high,low,volume,code
2018-03-16,53.78,53.42,53.85,53.23,749181.0,000651
2018-03-19,53.32,52.93,53.35,52.5,369997.0,000651
2018-03-20,52.6,52.2,52.66,51.7,434321.0,000651
2018-03-21,52.25,51.7,52.61,51.68,357397.0,000651
2018-03-22,51.7,49.9,51.95,49.8,842820.0,000651
2018-03-23,47.9,48.88,49.2,46.41,897017.0,000651
2018-03-26,48.1,48.13,48.5,47.28,557485.0,000651
2018-03-27,48.86,47.44,49.25,47.02,592630.0,000651
2018-03-28,47.0,45.51,47.0,45.01,934072.0,000651
2018-03-29,45.73,47.1,47.5,44.53,847055.0,000651
2018-03-30,46.99,46.9,47.7,46.7,506755.0,000651
2018-04-02,46.63,45.97,47.56,45.84,508996.0,000651
2018-04-03,45.5,46.12,46.48,45.13,372046.0,000651
2018-04-04,46.3,46.8,47.45,45.93,491215.0,000651
2018-04-09,46.65,45.72,46.98,45.42,505261.0,000651
2018-04-10,45.9,47.68,47.68,45.9,582346.0,000651
2018-04-11,48.0,48.12,48.86,47.98,535068.0,000651
2018-04-12,48.13,47.8,48.4,47.6,318138.0,000651
2018-04-13,48.18,47.45,48.55,47.12,337918.0,000651
2018-04-16,47.45,46.19,47.75,45.76,529298.0,000651
2018-04-17,46.14,45.29,46.47,45.2,518662.0,000651
2018-04-18,45.88,45.35,46.05,44.75,451721.0,000651
2018-04-19,45.62,47.6,47.66,45.36,663922.0,000651
2018-04-20,47.83,47.85,49.3,47.59,767214.0,000651
2018-04-23,48.09,49.72,49.76,48.09,763662.0,000651
2018-04-24,50.09,50.19,51.06,49.8,682442.0,000651
2018-04-25,50.0,50.07,50.94,49.72,433751.0,000651
2018-04-26,45.12,45.58,47.22,45.06,3745624.0,000651
2018-04-27,46.3,44.08,46.4,44.08,2293287.0,000651
2018-05-02,44.23,45.2,45.51,44.22,974178.0,000651
2018-05-03,45.16,45.79,45.89,44.58,930896.0,000651
2018-05-04,45.79,45.88,46.87,45.7,865753.0,000651
2018-05-07,46.19,46.72,46.85,45.36,942241.0,000651
2018-05-08,46.77,48.0,48.2,46.76,985756.0,000651
2018-05-09,48.12,48.2,48.25,47.58,623495.0,000651
2018-05-10,48.34,48.21,48.62,47.71,560935.0,000651
2018-05-11,48.4,47.5,48.49,47.2,547551.0,000651
2018-05-14,47.98,48.58,48.69,47.83,684311.0,000651
2018-05-15,48.75,48.35,48.75,48.03,476442.0,000651
2018-05-16,48.06,47.88,48.27,47.8,409712.0,000651
2018-05-17,48.23,47.75,48.43,47.7,436531.0,000651
2018-05-18,47.65,48.27,48.35,47.23,487185.0,000651
2018-05-21,48.4,47.94,48.5,47.73,574057.0,000651
2018-05-22,47.78,46.8,47.78,46.33,839495.0,000651
2018-05-23,46.72,46.22,46.72,46.1,399705.0,000651
2018-05-24,46.22,45.61,46.4,45.54,451000.0,000651
2018-05-25,45.61,45.74,46.09,45.5,336852.0,000651
2018-05-28,45.81,46.63,46.82,45.57,501538.0,000651
2018-05-29,46.69,46.07,46.79,45.97,391081.0,000651
2018-05-30,45.48,45.33,45.86,44.6,443974.0,000651
2018-05-31,45.85,47.5,47.84,45.54,1043906.0,000651
2018-06-01,47.3,46.58,47.3,46.26,495741.0,000651
2018-06-04,47.0,47.81,48.31,46.99,1024946.0,000651
2018-06-05,48.0,48.55,48.84,47.93,1033095.0,000651
2018-06-06,48.55,48.41,48.8,48.15,545544.0,000651
